date,seed,strategy,asset,target_weight
2020-03-25,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,1.9683751251070974e-09
2020-03-26,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-03-27,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-03-30,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-03-31,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.09999999999999999
2020-04-01,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-04-02,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,2.801535829108069e-23
2020-04-03,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-04-06,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-04-07,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-04-08,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.1
2020-04-09,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.1
2020-04-13,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-04-14,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-04-15,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-04-16,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,8.702503293485848e-23
2020-04-17,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,8.231128360487533e-23
2020-04-20,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-04-21,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-04-22,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-04-23,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-04-24,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-04-27,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-04-28,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,4.235143465259258e-23
2020-04-29,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,8.900189431667663e-23
2020-04-30,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,5.956457760405205e-23
2020-05-01,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-05-04,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-05-05,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,1.125642821928319e-22
2020-05-06,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-05-07,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,4.7964786684180064e-23
2020-05-08,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-05-11,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-05-12,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-05-13,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-05-14,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-05-15,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,1.606637597275846e-22
2020-05-18,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-05-19,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-05-20,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-05-21,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,6.355600370211075e-23
2020-05-22,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-05-26,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-05-27,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-05-28,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-05-29,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-06-01,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-06-02,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,1.600569230012351e-23
2020-06-03,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-06-04,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,7.126562366834305e-23
2020-06-05,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,2.816380746322588e-23
2020-06-08,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-06-09,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,2.216687981400196e-22
2020-06-10,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,1.4541453581924057e-22
2020-06-11,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-06-12,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-06-15,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,1.1421174961355638e-23
2020-06-16,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-06-17,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,2.3131798120088266e-23
2020-06-18,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,3.556429206524208e-23
2020-06-19,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
2020-06-22,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,4.88758130414739e-23
2020-06-23,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,1.3456097597479467e-22
2020-06-24,6,Simple alpha + Basic + Two-Step,NYSE:MTZ,0.0
