date,seed,strategy,asset,target_weight
2020-03-25,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.019999999999999997
2020-03-26,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.019999999999999997
2020-03-27,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.05661805186518584
2020-03-30,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.10000005183198701
2020-03-31,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.10000002326795654
2020-04-01,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999784677965924
2020-04-02,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999998380467981
2020-04-03,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.10000000476826741
2020-04-06,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.10000021564357263
2020-04-07,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.1000009317776824
2020-04-08,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999999932062734
2020-04-09,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999365418410928
2020-04-13,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.0999959661116159
2020-04-14,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999862042500447
2020-04-15,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.10000012982212468
2020-04-16,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.10000000373093922
2020-04-17,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.10000000399066403
2020-04-20,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999998543629152
2020-04-21,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999770620076934
2020-04-22,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999943230833254
2020-04-23,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999988103899918
2020-04-24,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999678529056684
2020-04-27,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.1000000527736209
2020-04-28,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999945870406302
2020-04-29,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999786613732434
2020-04-30,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999999891640603
2020-05-01,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999719003493242
2020-05-04,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999982411131118
2020-05-05,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999589162980016
2020-05-06,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999025037558903
2020-05-07,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.0999977848278425
2020-05-08,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999212099767532
2020-05-11,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999521337761418
2020-05-12,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.0999980792086577
2020-05-13,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999520575863442
2020-05-14,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999812930519336
2020-05-15,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09998864743157916
2020-05-18,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999572982174287
2020-05-19,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999989019330854
2020-05-20,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.10000005062955855
2020-05-21,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.0999974941143597
2020-05-22,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999232920823152
2020-05-26,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999997128963063
2020-05-27,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999962603454521
2020-05-28,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09998523793117446
2020-05-29,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999751812108304
2020-06-01,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999028886039263
2020-06-02,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999237627017217
2020-06-03,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999937575278424
2020-06-04,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999604552877575
2020-06-05,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999437899568647
2020-06-08,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999840729866694
2020-06-09,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999989262303878
2020-06-10,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999249766852492
2020-06-11,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999945014501185
2020-06-12,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999197167429787
2020-06-15,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.0999863897699944
2020-06-16,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999238083319678
2020-06-17,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09998853434735881
2020-06-18,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999048407100268
2020-06-19,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999227820704196
2020-06-22,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999227538268156
2020-06-23,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999943616534401
2020-06-24,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999986169081769
2020-06-25,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999660478606825
2020-06-26,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.0999991228645532
2020-06-29,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999399299374913
2020-06-30,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.0999999288606293
2020-07-01,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999005606794031
2020-07-02,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999319942686387
2020-07-06,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999994331854979
2020-07-07,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999826646387282
2020-07-08,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999900318876696
2020-07-09,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999419280886414
2020-07-10,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09998630795987713
2020-07-13,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.0999973224387612
2020-07-14,9,AR1 alpha + Enhanced + Two-Step,NYSE:FVRR,0.09999982172464005
