date,seed,strategy,asset,weight
2020-03-25,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.01999999999961937
2020-03-26,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.019999999999299974
2020-03-27,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.020000542809540896
2020-03-30,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.02000132073501966
2020-03-31,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.020001735207640547
2020-04-01,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.020001757876513145
2020-04-02,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.020001757625350846
2020-04-03,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.02000213650500959
2020-04-06,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.020001778882749927
2020-04-07,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.020001738083902564
2020-04-08,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.02000165480814978
2020-04-09,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.020001612141374366
2020-04-13,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.020002103754410628
2020-04-14,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.020002096640639254
2020-04-15,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.0200018170698201
2020-04-16,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.02000279595021151
2020-04-17,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.02000378840714221
2020-04-20,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.020003868530504548
2020-04-21,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.02000386269107676
2020-04-22,12,AR1 alpha + Enhanced + One-Step,NASDAQ:PLAB,0.020003067851093133
