date,seed,strategy,asset,target_weight
2020-03-25,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,4.896455263778643e-08
2020-03-26,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.3546155898594076e-09
2020-03-27,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.7843642984023027e-09
2020-03-30,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.1205721517500594e-07
2020-03-31,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,4.585631251535279e-07
2020-04-01,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-04-02,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,5.656596004014665e-07
2020-04-03,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.3927371939568926e-06
2020-04-06,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-04-07,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-04-08,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,5.49001581791369e-09
2020-04-09,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-04-13,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-04-14,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-04-15,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,6.620899726617486e-09
2020-04-16,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-04-17,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-04-20,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-04-21,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-04-22,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-04-23,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-04-24,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-04-27,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-04-28,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.893431807508505e-07
2020-04-29,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-04-30,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-01,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-04,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.308072307700644e-06
2020-05-05,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-06,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-07,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-08,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,4.544188527385638e-09
2020-05-11,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-12,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-13,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-14,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-15,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-18,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-19,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-20,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-21,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-22,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-26,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-27,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,9.764228160005875e-07
2020-05-28,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-05-29,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.7296710261580152e-07
2020-06-01,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.518262361146291e-06
2020-06-02,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-06-03,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.3725873973287014e-07
2020-06-04,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-06-05,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-06-08,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-06-09,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-06-10,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-06-11,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,6.258792755358859e-07
2020-06-12,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.0391409962835149e-07
2020-06-15,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,2.2729264219717825e-07
2020-06-16,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.4410541340500886e-06
2020-06-17,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,6.560501096423375e-08
2020-06-18,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.640817713772772e-08
2020-06-19,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,9.914727005001353e-07
2020-06-22,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.0183256393885256e-08
2020-06-23,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-06-24,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-06-25,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,2.5826008872345373e-09
2020-06-26,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.5099181983291588e-07
2020-06-29,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.32277810828586e-08
2020-06-30,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,1.5732804597587888e-06
2020-07-01,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,7.32512961491397e-08
2020-07-02,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-06,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,3.9702220702100473e-10
2020-07-07,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-08,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-09,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
2020-07-10,12,Simple alpha + Enhanced + Two-Step,NASDAQ:PLAB,0.0
