date,seed,strategy,asset,weight
2020-03-25,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,1.0206899898574345e-07
2020-03-26,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,6.498485863598815e-08
2020-03-27,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,1.5027634181925027e-06
2020-03-30,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,1.1535230230383382e-06
2020-03-31,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,4.590814437957606e-08
2020-04-01,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-02,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-03,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-06,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-07,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-08,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-09,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-13,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-14,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,2.888532524662294e-07
2020-04-15,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,4.228020937224359e-07
2020-04-16,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-17,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-20,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-21,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-22,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-23,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-24,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-27,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-28,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-04-29,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,1.52802814401285e-07
2020-04-30,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-05-01,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-05-04,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-05-05,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-05-06,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-05-07,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-05-08,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,2.8801431966517273e-09
2020-05-11,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-05-12,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-05-13,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-05-14,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-05-15,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-05-18,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,3.447106638766796e-07
2020-05-19,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,2.8741219515931046e-07
2020-05-20,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,2.6609407600891236e-07
2020-05-21,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,1.0308652482633076e-07
2020-05-22,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,6.159719190702204e-08
2020-05-26,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-05-27,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-05-28,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,2.325747400774066e-07
2020-05-29,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,1.2893152471680002e-07
2020-06-01,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-06-02,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-06-03,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-06-04,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-06-05,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-06-08,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,1.9181111468638796e-08
2020-06-09,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,1.869211816954547e-08
2020-06-10,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-06-11,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-06-12,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,5.7389310140917706e-08
2020-06-15,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,3.851577143870736e-08
2020-06-16,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,9.594790475695977e-08
2020-06-17,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,8.177137340538367e-08
2020-06-18,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-06-19,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-06-22,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-06-23,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-06-24,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,4.7776389924854905e-08
2020-06-25,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-06-26,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-06-29,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,2.9560429208857224e-08
2020-06-30,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-07-01,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,1.524372319584869e-08
2020-07-02,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-07-06,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-07-07,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-07-08,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-07-09,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-07-10,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,2.616063450835452e-07
2020-07-13,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,7.653772053687762e-08
2020-07-14,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,3.841771198644338e-08
2020-07-15,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-07-16,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-07-17,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-07-20,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-07-21,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,2.002804261890522e-12
2020-07-22,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-07-23,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,1.3225134362701882e-07
2020-07-24,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,0.0
2020-07-27,13,Simple alpha + Basic + One-Step,NASDAQ:NTNX,1.9707131805149135e-09
