date,seed,strategy,asset,weight
2020-03-25,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.02
2020-03-26,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.02
2020-03-27,16,AR1 alpha + Basic + One-Step,NYSE:TPR,7.690192316831629e-22
2020-03-30,16,AR1 alpha + Basic + One-Step,NYSE:TPR,8.571281859852432e-10
2020-03-31,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-04-01,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-04-02,16,AR1 alpha + Basic + One-Step,NYSE:TPR,2.0550736456722144e-11
2020-04-03,16,AR1 alpha + Basic + One-Step,NYSE:TPR,1.8988700752511735e-09
2020-04-06,16,AR1 alpha + Basic + One-Step,NYSE:TPR,3.999527166851089e-09
2020-04-07,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-04-08,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-04-09,16,AR1 alpha + Basic + One-Step,NYSE:TPR,1.3545847029054801e-12
2020-04-13,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-04-14,16,AR1 alpha + Basic + One-Step,NYSE:TPR,2.5135938715433786e-11
2020-04-15,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-04-16,16,AR1 alpha + Basic + One-Step,NYSE:TPR,4.2264352318650043e-10
2020-04-17,16,AR1 alpha + Basic + One-Step,NYSE:TPR,9.653659791728327e-10
2020-04-20,16,AR1 alpha + Basic + One-Step,NYSE:TPR,4.6489698424930633e-10
2020-04-21,16,AR1 alpha + Basic + One-Step,NYSE:TPR,5.334506083793836e-10
2020-04-22,16,AR1 alpha + Basic + One-Step,NYSE:TPR,2.7202912468449726e-10
2020-04-23,16,AR1 alpha + Basic + One-Step,NYSE:TPR,5.96923746267506e-08
2020-04-24,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-04-27,16,AR1 alpha + Basic + One-Step,NYSE:TPR,3.893013647856502e-08
2020-04-28,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-04-29,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-04-30,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-05-01,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-05-04,16,AR1 alpha + Basic + One-Step,NYSE:TPR,8.163647723597547e-09
2020-05-05,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-05-06,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-05-07,16,AR1 alpha + Basic + One-Step,NYSE:TPR,9.54034453655342e-08
2020-05-08,16,AR1 alpha + Basic + One-Step,NYSE:TPR,3.7257419493301604e-08
2020-05-11,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-05-12,16,AR1 alpha + Basic + One-Step,NYSE:TPR,6.976316154538963e-08
2020-05-13,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-05-14,16,AR1 alpha + Basic + One-Step,NYSE:TPR,4.8547258593259984e-08
2020-05-15,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-05-18,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-05-19,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-05-20,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-05-21,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-05-22,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-05-26,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-05-27,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-05-28,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-05-29,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-06-01,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-06-02,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-06-03,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-06-04,16,AR1 alpha + Basic + One-Step,NYSE:TPR,2.8385485570892413e-08
2020-06-05,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
2020-06-08,16,AR1 alpha + Basic + One-Step,NYSE:TPR,1.2923423315459723e-08
2020-06-09,16,AR1 alpha + Basic + One-Step,NYSE:TPR,0.0
