date,seed,strategy,asset,weight
2020-03-25,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.02
2020-03-26,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.02
2020-03-27,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.00024747487336205165
2020-03-30,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0001242707887835112
2020-03-31,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.00010457788463336748
2020-04-01,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,8.529907969326979e-05
2020-04-02,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,6.86398088153054e-05
2020-04-03,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,6.863980839597256e-05
2020-04-06,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,5.51924291406494e-05
2020-04-07,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,4.6927453914471094e-05
2020-04-08,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,3.877492329286842e-05
2020-04-09,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.774828100602639e-05
2020-04-13,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.7748280821968597e-05
2020-04-14,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.7559411345165207e-05
2020-04-15,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.5259181922288774e-05
2020-04-16,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.5259182715159443e-05
2020-04-17,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.379510870921496e-05
2020-04-20,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.1810497960704352e-05
2020-04-21,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.7542817327923077e-05
2020-04-22,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.3182817813331898e-05
2020-04-23,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.6524433356407003e-05
2020-04-24,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.6524433063091843e-05
2020-04-27,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,8.02636485556812e-06
2020-04-28,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.0399747387153e-06
2020-04-29,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,3.292299819097013e-06
2020-04-30,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-05-01,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-05-04,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.951831100248441e-06
2020-05-05,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-05-06,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-05-07,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-05-08,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,6.874961908364261e-06
2020-05-11,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.2320810745055776e-05
2020-05-12,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.22853182689158e-06
2020-05-13,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-05-14,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-05-15,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-05-18,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-05-19,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-05-20,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-05-21,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,3.4341793998653687e-06
2020-05-22,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-05-26,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-05-27,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,6.278104395711217e-06
2020-05-28,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-05-29,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.3325814209075216e-07
2020-06-01,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-06-02,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,8.724761708346838e-06
2020-06-03,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.398393807834713e-05
2020-06-04,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.3983937632832965e-05
2020-06-05,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,6.412699209365796e-07
2020-06-08,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-06-09,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,4.2337724830274326e-13
2020-06-10,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-06-11,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-06-12,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-06-15,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-06-16,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,7.425153710415749e-06
2020-06-17,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-06-18,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-06-19,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,3.45249176990128e-06
2020-06-22,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-06-23,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-06-24,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.276479379043105e-12
2020-06-25,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,5.9503867946717e-06
2020-06-26,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-06-29,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-06-30,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,6.75610861330459e-13
2020-07-01,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-07-02,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,9.778886816876605e-06
2020-07-06,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,4.340118859631559e-06
2020-07-07,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-07-08,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-07-09,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,6.52308260730046e-06
2020-07-10,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,7.994097225226166e-07
2020-07-13,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.501376699306922e-06
2020-07-14,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-07-15,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.0354572968575788e-12
2020-07-16,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,5.790479547106185e-07
2020-07-17,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-07-20,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-07-21,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,7.623813731674887e-06
2020-07-22,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.7525157165677194e-07
2020-07-23,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-07-24,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-07-27,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,9.505693179123652e-07
2020-07-28,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,7.063203671166697e-07
2020-07-29,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,4.747853849366211e-06
2020-07-30,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-07-31,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,3.4883433749094782e-12
2020-08-03,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-08-04,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-08-05,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.985864042017136e-06
2020-08-06,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.675005722717205e-06
2020-08-07,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.4828600411664117e-07
2020-08-10,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.792484513642317e-06
2020-08-11,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-08-12,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-08-13,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-08-14,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.3812516071907807e-06
2020-08-17,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,6.662168428796682e-06
2020-08-18,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,6.662157269496889e-06
2020-08-19,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,6.662147084316583e-06
2020-08-20,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,3.7079878057042167e-07
2020-08-21,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-08-24,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,4.5055452693318735e-06
2020-08-25,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.6856006257006654e-07
2020-08-26,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,4.582612716909211e-06
2020-08-27,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,4.5826031913474845e-06
2020-08-28,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-08-31,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-09-01,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,4.557954286680198e-11
2020-09-02,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,5.885733890912828e-06
2020-09-03,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-09-04,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.4157422413247047e-12
2020-09-08,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-09-09,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-09-10,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.966776142444551e-06
2020-09-11,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-09-14,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-09-15,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-09-16,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,7.200560428562383e-12
2020-09-17,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-09-18,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-09-21,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-09-22,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-09-23,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,5.5567534336581355e-12
2020-09-24,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,4.950789477138129e-06
2020-09-25,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-09-28,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,3.7605710964340464e-12
2020-09-29,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-09-30,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-10-01,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-10-02,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-10-05,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,4.453208088599803e-07
2020-10-06,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.9807349018191705e-06
2020-10-07,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-10-08,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-10-09,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.0131894065019623e-06
2020-10-12,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.0131909686782298e-06
2020-10-13,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.0131923850109554e-06
2020-10-14,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-10-15,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-10-16,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,7.055106541657753e-07
2020-10-19,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-10-20,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.4193771445651909e-12
2020-10-21,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-10-22,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.107414603420154e-11
2020-10-23,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-10-26,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-10-27,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,7.755714421021823e-12
2020-10-28,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-10-29,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-10-30,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.0
2020-11-02,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.03519910845572467
2020-11-03,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,7.043532391493833e-05
2020-11-04,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,5.331574532332428e-05
2020-11-05,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,4.3681804676592046e-05
2020-11-06,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,3.427884444403191e-05
2020-11-09,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,3.4278839199363144e-05
2020-11-10,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,3.4278836729161035e-05
2020-11-11,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.9950146083439277e-05
2020-11-12,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,1.940474103970419e-05
2020-11-13,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.1605390229412505e-05
2020-11-16,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,2.2881993539999607e-05
2020-11-17,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.008407019932293064
2020-11-18,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.00010884594879140579
2020-11-19,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,9.473875490194242e-05
2020-11-20,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,8.418153056670929e-05
2020-11-23,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,6.860535199781644e-05
2020-11-24,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.005948011957567997
2020-11-25,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,0.00011543989898267941
2020-11-27,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,9.807471129597731e-05
2020-11-30,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,9.807471043926461e-05
2020-12-01,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,8.379601565396595e-05
2020-12-02,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,6.821154386986519e-05
2020-12-03,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,5.5964281690209246e-05
2020-12-04,16,AR1 alpha + Basic + Two-Step,NYSE:TPR,4.717704462056912e-05
