date,seed,strategy,asset,weight
2020-03-25,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.00011592992879712705
2020-03-26,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,9.697838328908796e-05
2020-03-27,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,7.752485231629843e-05
2020-03-30,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,6.009616236970839e-05
2020-03-31,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,4.115532205377513e-05
2020-04-01,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,2.5960717172827678e-05
2020-04-02,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,1.0067915427491867e-05
2020-04-03,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-06,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-07,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-08,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-09,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-13,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-14,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-15,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-16,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-17,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-20,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-21,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-22,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-23,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-24,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-27,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-28,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-29,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-04-30,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,7.37715744642427e-06
2020-05-01,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,7.377157788396239e-06
2020-05-04,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-05-05,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,2.546784532780584e-06
2020-05-06,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,4.976682954246772e-07
2020-05-07,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,6.171927066881092e-06
2020-05-08,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,6.997435424356292e-06
2020-05-11,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,1.0062882897570878e-06
2020-05-12,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,3.7605547547407617e-06
2020-05-13,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-05-14,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,5.785264145758724e-13
2020-05-15,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,1.8046436324677286e-06
2020-05-18,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,7.117488411942406e-06
2020-05-19,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,7.117488262356239e-06
2020-05-20,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-05-21,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,1.0451080681686787e-05
2020-05-22,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,4.2678569267692966e-06
2020-05-26,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,4.2678578373570605e-06
2020-05-27,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-05-28,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,1.1072607582036161e-12
2020-05-29,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-06-01,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,8.90737207292013e-06
2020-06-02,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,1.070191924946469e-05
2020-06-03,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,1.0701919942604886e-05
2020-06-04,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-06-05,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,2.1491552286769384e-12
2020-06-08,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,2.844983068956046e-12
2020-06-09,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,7.742722519462342e-06
2020-06-10,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-06-11,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0
2020-06-12,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.06917630208270942
2020-06-15,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.050805213011443806
2020-06-16,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0533476884133403
2020-06-17,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09976781171080253
2020-06-18,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09984734316873727
2020-06-19,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09986251893653143
2020-06-22,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0998658150347374
2020-06-23,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09985178407585427
2020-06-24,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09987019874120903
2020-06-25,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09988196947743161
2020-06-26,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09989478463242578
2020-06-29,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09990187015265165
2020-06-30,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09989704044099038
2020-07-01,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09990976250292859
2020-07-02,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09992095628482062
2020-07-06,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09991614095240843
2020-07-07,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09992655590086513
2020-07-08,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09993582737031444
2020-07-09,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0999358273851604
2020-07-10,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09993582740667878
2020-07-13,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09993582740477501
2020-07-14,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09993583268042035
2020-07-15,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09993583268419533
2020-07-16,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09993432386320061
2020-07-17,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09994603103472974
2020-07-20,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.099946031001891
2020-07-21,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09994603096993508
2020-07-22,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09994603098568926
2020-07-23,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09994603098530176
2020-07-24,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09994603098440716
2020-07-27,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.08667518451533295
2020-07-28,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.06026446998356535
2020-07-29,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.006531818200052521
2020-07-30,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.005205082700906948
2020-07-31,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.030349603924927325
2020-08-03,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.019413481779233528
2020-08-04,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.07368093583646428
2020-08-05,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.08550452198791655
2020-08-06,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09991246498569256
2020-08-07,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.018828791782091514
2020-08-10,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.005540798530020245
2020-08-11,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.00010916919151768139
2020-08-12,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.05956128210569567
2020-08-13,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.05272228810804782
2020-08-14,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.0001095816327057544
2020-08-17,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.023079700382183013
2020-08-18,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.04609971409602397
2020-08-19,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09987161529917393
2020-08-20,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09990492732864016
2020-08-21,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09992144267760805
2020-08-24,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09992144266948248
2020-08-25,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09993492873295516
2020-08-26,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09993492873597964
2020-08-27,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09994401163844668
2020-08-28,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09995603589632
2020-08-31,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09996287446467186
2020-09-01,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09996842326041047
2020-09-02,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09996842323728065
2020-09-03,18,Simple alpha + Basic + Two-Step,NASDAQ:ADBE,0.09996496173300215
