seed,asset
20,NASDAQ:MGNI
20,NYSE:IBP
20,NASDAQ:PLMR
20,NYSE:LEN
20,NASDAQ:NBTB
20,NYSE:EGY
20,NASDAQ:SAGE
20,NYSE:PLOW
20,NYSE:MFC
20,NASDAQ:CRUS
20,NASDAQ:HLIT
20,NASDAQ:CTMX
20,NASDAQ:MTRX
20,NYSE:BBW
20,NASDAQ:BBSI
20,NASDAQ:MNRO
20,NASDAQ:CHTR
20,NYSE:SBOW
20,NYSE:MPC
20,NYSE:SD
20,NASDAQ:OPCH
20,NASDAQ:ACIW
20,NYSE:FIX
20,NYSE:MTDR
20,NYSE:MYE
20,NYSE:FDP
20,NASDAQ:LRCX
20,NYSE:PKG
20,NYSE:PAG
20,NASDAQ:MBWM
20,NYSE:TDG
20,NYSE:AN
20,NYSE:AG
20,NASDAQ:NMIH
20,NASDAQ:RPD
20,NASDAQ:MDB
20,NYSE:ELAN
20,NYSE:SMP
20,NASDAQ:TXN
20,NASDAQ:PFG
20,NASDAQ:SONO
20,NASDAQ:FCFS
20,NASDAQ:EEFT
20,NASDAQ:TER
20,NASDAQ:ENPH
20,NYSE:GKOS
20,NYSE:DOOR
20,NASDAQ:SPSC
20,NYSE:CWK
20,NASDAQ:VCYT
