date,seed,strategy,asset,weight
2020-03-25,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.019375000948233224
2020-03-26,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.01896699189993599
2020-03-27,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.018704851244495807
2020-03-30,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.018417496842435436
2020-03-31,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.01835068372820026
2020-04-01,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.018311168058505602
2020-04-02,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.018110928402309424
2020-04-03,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.017714510155501594
2020-04-06,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.017394995825897562
2020-04-07,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.01701563629973724
2020-04-08,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.016392522038695147
2020-04-09,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.016392691664646127
2020-04-13,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.016392679434503794
2020-04-14,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.016316737419595485
2020-04-15,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.016137573229956743
2020-04-16,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.01560967512831544
2020-04-17,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.015444236732108261
2020-04-20,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.015444235567146022
2020-04-21,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.014886052130488386
2020-04-22,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.014568387660869505
2020-04-23,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.014568386309640696
2020-04-24,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.014568344361434267
2020-04-27,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.014070987796756357
2020-04-28,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.014070988230466487
2020-04-29,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.01407117611805828
2020-04-30,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.013530720713868988
2020-05-01,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.013530699890018476
2020-05-04,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.01353067863103373
2020-05-05,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.013252536398478015
2020-05-06,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.012852150668492594
2020-05-07,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.012212271660938965
2020-05-08,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.011587750013875834
2020-05-11,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.010929634832008829
2020-05-12,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.010929504070814049
2020-05-13,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.010519774506589802
2020-05-14,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.009873244459979592
2020-05-15,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.009873237908605887
2020-05-18,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.009662561848934308
2020-05-19,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.00942251290807875
2020-05-20,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.00889919784365149
2020-05-21,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.008250910193360534
2020-05-22,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.007649253189064009
2020-05-26,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.007305331344961615
2020-05-27,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.00691935195691468
2020-05-28,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.006424054865671876
2020-05-29,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.005766202296138745
2020-06-01,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.005512655540468963
2020-06-02,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.0055127077362327834
2020-06-03,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.0055150638827070895
2020-06-04,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.004952708508835574
2020-06-05,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.004679175054059607
2020-06-08,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.004679182406010544
2020-06-09,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.0046791740117615175
2020-06-10,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.00467916845844369
2020-06-11,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.004679165045509065
2020-06-12,22,Simple alpha + Enhanced + Two-Step,NYSE:MCD,0.004077509819775834
