date,seed,strategy,asset,target_weight
2020-03-25,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.02
2020-03-26,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.02
2020-03-27,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,2.285502547433709e-19
2020-03-30,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-03-31,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-04-01,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-04-02,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,6.332736454439503e-23
2020-04-03,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,1.3511538739106003e-23
2020-04-06,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,5.046896643537901e-23
2020-04-07,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-04-08,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-04-09,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,3.722994284614115e-23
2020-04-13,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,1.242206416614657e-23
2020-04-14,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-04-15,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-04-16,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,9.78055079090247e-23
2020-04-17,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-04-20,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,1.0078227171572911e-22
2020-04-21,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-04-22,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-04-23,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,5.769484091976542e-24
2020-04-24,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-04-27,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,0.0
2020-04-28,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,2.9169565251045384e-23
2020-04-29,23,AR1 alpha + Basic + Two-Step,NASDAQ:DGII,1.605387255597729e-07
