strategy,final_equity_gross,final_equity_net,cum_return_gross,cum_return_net,sharpe_gross,sharpe_net,max_drawdown_gross,max_drawdown_net,avg_turnover,max_turnover,avg_max_weight,avg_cost_coeff,avg_realised_tc
AR1 alpha + EWMA + Enhanced + One-Step,3.278942776728714,2.9620136801417054,2.278942776728714,1.9620136801417056,1.2026695929137572,1.1097956883260007,-0.29856114872236944,-0.3196461246904842,0.04989790658932072,0.050432367288999,0.09974254354810656,0.002,9.94517210077362e-05
AR1 alpha + EWMA + Enhanced + Two-Step,2.9476264330223625,2.662149872326113,1.9476264330223625,1.6621498723261132,1.1680939241526302,1.0691474248617043,-0.2515189265314352,-0.2754465511280626,0.05002288921155617,0.05055952524417082,0.06648102438337085,0.002,9.964884061744877e-05
AR1 alpha + SampleCov + Enhanced + Two-Step,2.8368673078753694,2.563044615598747,1.8368673078753692,1.5630446155987472,1.1363691956166668,1.0371451876063513,-0.2507054047833462,-0.27295101062976873,0.049991078790366975,0.050768070646338315,0.07904244291395428,0.002,9.925105688767857e-05
Simple alpha + EWMA + Enhanced + Two-Step,2.8539172908771695,2.5774990700758456,1.8539172908771695,1.5774990700758453,1.1308368353827616,1.0326121377102502,-0.3029514842552397,-0.3276506726156471,0.05002485511923661,0.050569360420656136,0.06869813035484806,0.002,9.965475912261602e-05
AR1 alpha + SampleCov + Enhanced + One-Step,2.918058770286122,2.637349374106652,1.918058770286122,1.6373493741066516,1.1247278408719086,1.029609485919323,-0.27791495977940917,-0.300058526189618,0.04977441051379138,0.05035149720464436,0.09962970602681848,0.002,9.892056097017607e-05
Simple alpha + SampleCov + Enhanced + Two-Step,2.7206565917365073,2.4570593484303047,1.720656591736507,1.4570593484303047,1.0879941161509505,0.9890925816223433,-0.3065852421724677,-0.3297218194591503,0.05004075732972978,0.05072951688203029,0.0749507282960755,0.002,9.96808995168323e-05
Simple alpha + EWMA + Enhanced + One-Step,2.9212420289045298,2.6390299947210356,1.9212420289045298,1.6390299947210358,1.0782524743007058,0.9876836125035419,-0.36155956426191715,-0.3841861001974084,0.04987621329332719,0.0503042818516745,0.09979798478824865,0.002,9.939661643278747e-05
Simple alpha + SampleCov + Enhanced + One-Step,2.721766053290304,2.4592619841678003,1.7217660532903039,1.4592619841678,1.028816023679833,0.9361903458779014,-0.34780754227017274,-0.36941540940322676,0.0497935868786099,0.05025079957933255,0.0998225639624367,0.002,9.920448753695722e-05
Simple alpha + EWMA + Basic + One-Step,2.721306214095597,1.7615412345543169,1.721306214095597,0.761541234554317,1.0092711897426416,0.6197452434532411,-0.36155901072997115,-0.46038942837108615,0.20963790727141426,0.8906947057387895,0.09999806079124056,0.002,0.00042726910924695743
Simple alpha + EWMA + Basic + Two-Step,2.722923388618871,1.749535295191069,1.7229233886188708,0.7495352951910691,1.0098129296986722,0.6134469960044742,-0.36176947711474744,-0.46256102728525084,0.21323653241205534,0.8896494434279968,0.09997528262420928,0.002,0.0004346448330566853
AR1 alpha + EWMA + Basic + One-Step,2.9902389277537593,1.6983379993976546,1.9902389277537593,0.6983379993976545,1.104185734129085,0.5944682442551801,-0.285480264118831,-0.4046018815988575,0.25961579680742847,1.5925775456887603,0.0999977448425339,0.002,0.0005528448677470648
AR1 alpha + EWMA + Basic + Two-Step,2.993304323197279,1.6799023545351026,1.993304323197279,0.6799023545351024,1.1052228152919978,0.5845297071886124,-0.2850406896151198,-0.40847077416741107,0.26561101704060375,1.5706541358000508,0.09997032163070362,0.002,0.0005646233794660031
AR1 alpha + SampleCov + Basic + One-Step,2.7945561399384844,1.6635286214405172,1.7945561399384844,0.6635286214405173,1.05874296180383,0.5808646352795536,-0.26722333418483774,-0.3670075199795717,0.2325960969057842,1.5400564165320043,0.09984173049267828,0.002,0.0005087607718189376
AR1 alpha + SampleCov + Basic + Two-Step,2.7999558755945753,1.6467445779381058,1.7999558755945753,0.6467445779381059,1.0606661390164511,0.5715522451278894,-0.2669724393568878,-0.3706270314984246,0.23868410525788872,1.5356080866691884,0.09981121448866904,0.002,0.0005206240311027318
Simple alpha + SampleCov + Basic + One-Step,2.439526757170099,1.5989304405977751,1.439526757170099,0.598930440597775,0.9300019550629309,0.5431778247995216,-0.364772684233544,-0.4546210908336721,0.2002763275350229,0.890658126286347,0.0999977629207509,0.002,0.0004148439275606573
Simple alpha + SampleCov + Basic + Two-Step,2.4402149374382827,1.5879991126395523,1.4402149374382827,0.5879991126395524,0.9301479335716119,0.5367084993081613,-0.36487038200894906,-0.4565863515346382,0.20375974063618077,0.8864646633291567,0.09997250958354108,0.002,0.00042192028783839407
