seed,asset
19,NYSE:SEM
19,NASDAQ:SLM
19,NYSE:CPB
19,NYSE:GHC
19,NASDAQ:SPSC
19,NYSE:FF
19,NYSE:OIS
19,NYSE:MTD
19,NYSE:AN
19,NYSE:FCF
19,NYSE:LC
19,NASDAQ:ORLY
19,NYSE:FHN
19,NASDAQ:CGBD
19,NASDAQ:CMCSA
19,NYSE:NBR
19,NASDAQ:PAAS
19,NYSE:JOE
19,NASDAQ:PLAB
19,NASDAQ:SHYF
19,NASDAQ:OLLI
19,NYSE:DDS
19,NYSE:ROG
19,NYSE:LXFR
19,NASDAQ:RDWR
19,NYSE:JEF
19,NYSE:SO
19,NYSE:HII
19,NYSE:PGR
19,NASDAQ:EFSC
19,NYSE:MPC
19,NYSE:MLR
19,NASDAQ:MRNA
19,NASDAQ:KHC
19,NASDAQ:MSFT
19,NASDAQ:SFM
19,NASDAQ:PTCT
19,NASDAQ:AVGO
19,NASDAQ:IRMD
19,NASDAQ:SUPN
19,NASDAQ:TW
19,NYSE:AVNS
19,NASDAQ:WSBC
19,NYSE:CVS
19,NYSE:KGC
19,NASDAQ:RVNC
19,NYSE:QTWO
19,NYSE:CLH
19,NYSE:TRN
19,NASDAQ:SCHL
