seed,asset
16,NYSE:TPR
16,NASDAQ:SANM
16,NASDAQ:SCHL
16,NASDAQ:CSTL
16,NASDAQ:ZS
16,NYSE:USFD
16,NASDAQ:VRA
16,NASDAQ:INTC
16,NYSE:CCS
16,NYSE:TRI
16,NASDAQ:SIGI
16,NYSE:RNG
16,NASDAQ:BRP
16,NASDAQ:NWLI
16,NASDAQ:SRCL
16,NASDAQ:ITRI
16,NASDAQ:VRNT
16,NYSE:BYD
16,NASDAQ:PFG
16,NASDAQ:CAPR
16,NYSE:FHN
16,NYSE:MS
16,NASDAQ:WINA
16,NASDAQ:SIGA
16,NYSE:LXU
16,NYSE:KMT
16,NASDAQ:KELYA
16,NASDAQ:SPSC
16,NASDAQ:NWBI
16,NASDAQ:AEHR
16,NYSE:HOG
16,NYSE:NUE
16,NASDAQ:LSCC
16,NYSE:MYE
16,NASDAQ:ACIW
16,NYSE:LPX
16,NYSE:GHC
16,NASDAQ:EDIT
16,NYSE:KR
16,NASDAQ:MTRX
16,NYSE:GBX
16,NASDAQ:ICUI
16,NYSE:SON
16,NYSE:TMHC
16,NYSE:KW
16,NASDAQ:HWC
16,NYSE:PNR
16,NASDAQ:AOSL
16,NASDAQ:GO
16,NASDAQ:OTTR
