seed,date,strategy,NASDAQ:MORN,NASDAQ:PLAB,NYSE:USPH,NASDAQ:HWC,NYSE:RRX,NYSE:ORCL,NYSE:JPM,NASDAQ:CSTL,NASDAQ:PBYI,NYSE:SBOW,NYSE:USM,NASDAQ:VSEC,NASDAQ:ADBE,NASDAQ:WERN,NYSE:VOYA,NASDAQ:SFIX,NASDAQ:MDB,NYSE:PGR,NYSE:NFG,NYSE:MFC,NYSE:MDU,NYSE:MS,NYSE:ALK,NYSE:HP,NYSE:BBW,NYSE:WLK,NASDAQ:KIDS,NASDAQ:FHB,NYSE:IQV,NYSE:SD,NYSE:LXU,NASDAQ:MNRO,NYSE:SCL,NASDAQ:GO,NASDAQ:HEES,NASDAQ:MERC,NYSE:SMG,NYSE:LII,NASDAQ:UCTT,NASDAQ:RVNC,NYSE:WGO,NYSE:QTWO,NASDAQ:RPD,NASDAQ:HOPE,NYSE:JEF,NASDAQ:RYTM,NYSE:FDX,NYSE:IEX,NYSE:MO,NYSE:TRI
10,2020-03-18,Simple + Baseline,-4.347053779704026e-08,-4.9749251898822026e-08,-5.235075743649867e-08,-4.983851329507779e-08,-5.0610695637786336e-08,0.0999999704636768,-4.672612258089964e-08,-4.996784801014841e-08,0.09999997332863421,-4.6178649234539396e-08,0.09999997091538206,-5.5161099310633705e-08,-4.346916506036105e-08,0.09999997006532167,-4.506321482369463e-08,0.09999997326313126,-4.485989747035096e-08,-4.415990185872964e-08,-4.9753127623275555e-08,-4.5161498658414006e-08,-5.3023623919664495e-08,-4.572522419948275e-08,-5.472041825510207e-08,-5.054483624530334e-08,-4.394097120526863e-08,0.09999997063421992,-4.335598814350371e-08,2.1462501629089053e-06,-5.065828781118505e-08,-4.54863897814386e-08,-4.4854201637277355e-08,-4.842013384301109e-08,0.09999997152830876,0.09999996925100428,-5.1814802566187885e-08,-4.663633293525389e-08,-5.177969813259039e-08,-4.327630786255829e-08,-4.793502577842598e-08,-4.876996750479547e-08,-5.789141064226175e-08,-4.9223038799619374e-08,-4.437737313706133e-08,-4.384832718743051e-08,-4.811977108254404e-08,-4.338647815310508e-08,0.09999997314269042,-4.605119642892928e-08,-3.768225840647906e-08,0.0999999692109169
10,2020-03-19,Simple + Baseline,-4.191386560160932e-08,-4.62546558669366e-08,-4.7287575162465935e-08,-4.657224680935004e-08,-4.7089923490584495e-08,1.584878446288286e-07,-4.435784115485005e-08,-4.634958910664709e-08,0.099999970365557,-4.369927023987615e-08,0.09999996700639895,-4.9409349790667475e-08,-4.1694603016951445e-08,-1.100801535907262e-06,-4.3786746146001625e-08,0.09999996930453273,0.10000032951304154,-4.333342018870515e-08,-4.716163401389945e-08,-4.266262668507919e-08,0.10000043503579356,-4.3732116760752035e-08,-5.077347655023158e-08,-4.7763303324843656e-08,0.09999769883501564,0.09999996790703061,-4.152583457415593e-08,1.2408396822029798e-06,-4.733431507679757e-08,-4.4017547908671616e-08,-4.239484246261439e-08,-4.553842133355898e-08,1.4277970957818445e-06,7.159551966983083e-07,-4.69420899600368e-08,-4.396589998079859e-08,-4.7586783393632074e-08,0.10000086226507184,-4.562146935770401e-08,-4.6454620308869485e-08,-5.215918327658887e-08,-4.5606053830833136e-08,-4.257485425889207e-08,-4.2594103095834096e-08,-4.567485567772141e-08,-4.179210944856659e-08,0.09999996968879664,-4.322153035296346e-08,-3.888143528251778e-08,0.0999999657783601
10,2020-03-20,Simple + Baseline,1.3292351625324112e-06,-3.80152097201511e-07,-2.7593552117621904e-07,-1.1035490502407037e-07,-3.300134198398886e-07,0.10000446816418729,1.1801134433391863e-07,0.09999962196293567,0.10000102828051395,4.654314246318067e-07,1.97636044545892e-06,-2.5396058911689716e-07,1.0114334319255116e-06,0.09263635218356997,2.285260954027392e-06,0.10000240452665793,0.00732333889946679,8.711193344149657e-07,-3.7915135527595126e-07,3.5248330616088445e-07,-1.8342907764973159e-07,6.279463884483709e-07,-5.19942716804644e-07,-4.2825298539508773e-07,0.09999984275819923,0.10000077256867643,7.506987901542706e-07,3.3499255981261577e-06,-4.1333238236630334e-07,9.474422282045372e-07,1.326713123915315e-07,2.099388389158749e-07,9.636898401605743e-07,0.10000261873554574,-2.89389591250156e-07,2.0369228374786793e-07,-2.3498869698830393e-07,1.17781633254414e-06,5.118247538892911e-07,-3.381719066765065e-07,-3.8498578687543054e-07,-2.1978859474916437e-07,0.1000002702195385,2.204449959493261e-06,4.2534039831934056e-07,1.7157618487459324e-06,0.10000197007644142,1.7649770661049647e-07,4.137649332349582e-06,6.085458145402244e-06
10,2020-03-23,Simple + Baseline,6.088456735628518e-07,-2.467745324490876e-07,-1.3801687434839318e-08,2.3514097433839616e-07,-4.5757460392285564e-07,0.0999996497092661,-5.674672366217919e-07,0.016513158499755577,0.10000023392652582,2.2166777475156487e-07,0.08347956748983788,1.4913482454170408e-07,0.10000077788046816,2.5616873689258615e-06,3.336450299769458e-07,0.1000001920107466,0.10000024702267803,-1.4115094517723096e-06,-7.833080259356181e-07,1.589914072629862e-07,4.7504845735842354e-09,-4.215188714667911e-07,-1.362273475037719e-07,-1.4000567646348693e-07,-6.511789690166847e-07,5.286737719460025e-07,-3.402171002633016e-07,9.885885466951596e-07,-7.33037533604597e-07,5.462079461573321e-08,0.10000003436061884,4.724932284326096e-07,7.401930852119407e-07,0.10000039367098924,-8.689653726086737e-08,-1.8426589594074286e-07,-7.106282233361082e-08,2.242643156508229e-07,6.487481671590056e-07,-8.878143291645501e-07,-2.53897017246348e-07,-2.2828072932480786e-07,0.09999946752120159,-7.869047073412192e-07,6.115959441214837e-07,7.343984856205001e-07,0.10000088858214662,3.3114806108969254e-07,1.643522736630574e-06,2.545645767098281e-06
10,2020-03-24,Simple + Baseline,8.027360027969508e-08,0.0019512120612676246,1.1981015635985376e-07,2.850246958894522e-07,-1.323035541688424e-07,0.0999996646629684,6.29236489734954e-08,-4.762435459621836e-07,0.10000046503412005,1.8703362853936782e-07,0.010182411712244654,8.961044177993385e-08,0.09999963633482395,1.2654008960627104e-06,2.87039421194299e-07,0.10000042523204,0.10000013366558698,-1.504059168710713e-06,-3.133332802520331e-07,3.8351200863433906e-07,8.481237066124766e-08,2.8427749337652855e-07,8.072758974439803e-08,0.018653432255104154,-6.213306563496798e-07,0.06921322147735215,-9.226815358288548e-07,4.5128723866541055e-07,-7.5673534444115e-09,-4.3364120693345857e-07,0.09999979492201097,2.8492643482541516e-07,4.2845172560134137e-07,0.09999926844269487,-2.5813953308106964e-07,-4.329660937290912e-07,1.7187318264369934e-07,8.223209506608488e-08,1.8122591150966545e-07,-4.410685856452979e-07,-1.5898293786278405e-07,-6.272331746091956e-09,0.09999961332808542,-3.727270870379788e-08,2.8626955427368895e-07,-1.5644933966194655e-07,0.10000065787945395,6.940103628502976e-08,3.02307852645093e-07,5.034427788867899e-07
10,2020-03-25,Simple + Baseline,1.5813074643551852e-06,1.0701149663408478e-06,3.2150659215032177e-07,1.6133050191434633e-07,2.2089841317153011e-07,0.10000027452019469,2.8777127013675727e-07,2.2279100317666144e-07,0.10000073532302645,3.0073863511996194e-07,1.5894925206693269e-06,3.299258452282286e-07,0.03552090027352248,1.0697470472973683e-06,6.433826244417606e-08,0.06445608390728708,0.1000009565846569,-8.088804763764139e-08,4.4864710664271115e-08,2.9205444739091477e-07,3.4455641918547485e-07,1.1127775416510745e-07,7.344909617636576e-08,9.441521452695337e-08,1.7619410254978338e-07,0.10000044103530031,1.0339977721285046e-06,5.101941397571799e-08,1.2420583071042105e-07,0.10000018805153107,0.10000106544037131,2.5129958603076086e-07,7.522812709895272e-08,0.10000028955945453,5.022906418750537e-07,3.8964807178105643e-07,2.0432158110572812e-07,5.566326795529862e-07,3.2795389576575936e-07,1.4596018662970703e-07,1.9051403702147897e-07,3.9211536477696814e-07,0.10000101599225127,-1.118806287059087e-08,2.239540104378297e-07,1.6548763327630078e-06,0.10000192112906772,8.514118885435883e-07,9.724723017751641e-08,7.821983110949438e-07
10,2020-03-26,Simple + Baseline,-8.580629334457501e-08,-5.344663335271688e-08,7.575501921723577e-09,-2.533859605918969e-09,-2.5173146323774867e-08,0.100000061960637,-6.795741012374271e-09,1.050064788175056e-08,0.10000004090796652,-1.9732576538401835e-09,2.855019698329825e-07,-1.5932635210053203e-08,-7.678389010329219e-08,6.980295990948251e-09,-2.91742218811035e-08,0.005924873175660172,0.10000000987420447,-6.695967687086753e-08,-1.6853002892853313e-08,4.275511114570268e-09,3.503193439680653e-09,1.8173985656851343e-08,-1.585137560318752e-08,4.328131617062139e-09,7.225742260107882e-08,0.10000005888467578,4.0129142718222126e-08,4.925207592121807e-08,-1.2232465351679102e-08,0.0940750382984892,0.0999998852308156,4.25922706927412e-08,5.51549864381404e-09,0.09999994049796372,0.09999996080983256,6.372029898956318e-08,-1.630567794975349e-08,-1.088989847790436e-08,-7.769105341608073e-08,-5.493262315270573e-08,-3.377353642155556e-08,-2.0980537736924845e-09,0.09999996425566791,2.317759737863391e-08,-2.6756644022818632e-08,-6.234102065002512e-08,0.10000016215927272,-8.574276111754468e-09,-4.663994697341544e-09,7.405369338254155e-08
10,2020-03-27,Simple + Baseline,-1.5927958978776173e-06,5.6875043462522825e-06,8.46500195066076e-07,-4.898401050886268e-07,-7.148953719787987e-07,0.10000018343045634,-2.752656264687358e-06,0.00297845855505942,0.09998969653851737,-2.904734096770604e-06,0.031328091633010535,2.135035546170998e-06,7.73989005400218e-06,-1.3402369036548983e-05,-4.19778383887227e-06,-8.395916764888936e-06,0.10000030589707319,3.7288607046593306e-06,4.0372758989135275e-06,-5.875189931172389e-06,1.2792670321582546e-06,-4.288361683925932e-06,6.355503133296379e-07,3.5549915311273794e-07,-1.2416044272387282e-06,0.09999123451251796,4.5658922572840414e-06,-4.555534862800411e-06,-2.118295430171685e-06,-3.519334177234657e-06,0.09999610059083906,6.510581623441844e-07,-2.9202956693896076e-07,0.10000070157200926,0.006152231952671316,2.2382103493584696e-06,-1.764061000951317e-06,-2.436456263658499e-06,1.4540059791425805e-07,0.05961274767755094,2.4493305511216476e-08,3.00007433858005e-07,0.1000009496619917,-3.6792233986211333e-06,1.8325455872697433e-06,-2.630058163891515e-06,0.0999929454962304,4.900092674391514e-06,-3.427762603753312e-06,0.09998552700105194
10,2020-03-30,Simple + Baseline,1.787885984379684e-07,7.13551529471629e-07,-1.014790892614305e-06,-3.482161985544286e-07,-1.2467823414239523e-06,0.10000255104301231,-1.682590394305735e-06,-1.013445733528821e-07,0.09999632905654961,-1.375894226732396e-06,5.610451377787003e-06,-4.209416920750604e-08,3.1279063557451192e-06,0.09999890228034587,-1.1395804078669154e-06,-2.7122492049676918e-06,0.09999887880017899,2.7165245381513225e-06,1.1581055657411595e-06,-2.580217495552724e-06,-3.8012493087167e-07,-1.4698096017237008e-06,-1.1920627655995454e-07,-5.41835661099574e-08,-6.131061623105203e-07,-2.182202830582751e-06,0.10000038726046917,-5.552525761183826e-07,-1.320264888122171e-06,-1.1601575425276988e-06,0.0999971480916221,-5.569159247351475e-07,5.51163553736035e-07,0.08123812735327762,-8.375426510130705e-07,1.9823934666129754e-06,-1.0802543794171356e-06,-1.1078762619429592e-06,-2.900574139011379e-07,9.450739761060329e-07,-7.602512671628478e-07,-1.24424492377332e-06,0.09999903879962592,-1.6057296112660213e-07,9.257440012910618e-07,-1.175498174353437e-06,0.09999652498359428,0.018785605899400107,7.111427306904577e-07,0.09999517720491896
10,2020-03-31,Simple + Baseline,-1.9984283889956435e-06,1.418728496090924e-07,-5.27493509344446e-09,-6.574616212477138e-08,-4.376341091863489e-07,0.060685883300626756,-4.332405232308709e-07,0.01566773713494206,0.09999878846388628,-4.824152464027971e-07,1.3747767384296052e-06,4.787864935102334e-08,-3.899788549266417e-08,0.09999748635318562,-5.665003245863289e-07,-7.605417931784713e-07,0.0999993607894963,5.915139911589607e-07,3.4487654521787574e-07,-8.192030122605617e-07,1.2539299253335691e-07,-4.544136167085713e-07,-7.97162742707685e-08,-3.303610895365803e-08,-2.146490140227068e-07,-9.589839393740412e-07,0.00704690079295713,-5.630056607989466e-08,-3.515288622122903e-07,-6.66289701040198e-07,0.09999850077484654,-5.144270874006071e-08,1.926629696874265e-08,0.09999881243001768,0.04901574796233761,2.8166462818337676e-07,-3.0621914080655224e-07,-1.8476242540622605e-07,-2.740586255588218e-07,-5.240115199411045e-07,-2.2554161152948923e-07,-5.498920823422903e-08,0.09999950961486083,-2.9021539648318607e-07,2.9205590652678684e-07,-2.7569194197787033e-06,0.09999873797148938,0.06760572448666308,-5.938458521822975e-07,0.09999728394790382
