seed,asset
7,NASDAQ:TILE
7,NASDAQ:PLMR
7,NYSE:PAGS
7,NYSE:ALLY
7,NYSE:MAN
7,NYSE:CACI
7,NASDAQ:VRRM
7,NYSE:OIS
7,NASDAQ:WINA
7,NYSE:HI
7,NASDAQ:GEVO
7,NASDAQ:CHTR
7,NYSE:MTZ
7,NASDAQ:ACIW
7,NASDAQ:BOKF
7,NYSE:ENR
7,NYSE:BYD
7,NYSE:KW
7,NASDAQ:TTMI
7,NYSE:UVV
7,NYSE:USFD
7,NASDAQ:NMFC
7,NASDAQ:POOL
7,NYSE:EGO
7,NYSE:MOH
7,NYSE:ONTO
7,NASDAQ:INGN
7,NYSE:MC
7,NYSE:HTH
7,NYSE:TPR
7,NYSE:VVV
7,NYSE:AON
7,NYSE:LXFR
7,NYSE:MYE
7,NYSE:ORCL
7,NYSE:MCK
7,NASDAQ:NWLI
7,NASDAQ:TXN
7,NASDAQ:TCMD
7,NASDAQ:NFLX
7,NASDAQ:CAPR
7,NASDAQ:FCFS
7,NASDAQ:SRCE
7,NYSE:VMI
7,NASDAQ:LXRX
7,NYSE:ECL
7,NASDAQ:ONEW
7,NASDAQ:FHB
7,NASDAQ:MRSN
7,NASDAQ:LSCC
