seed,asset
24,NYSE:CB
24,NASDAQ:UAL
24,NYSE:IEX
24,NASDAQ:PANW
24,NYSE:NPO
24,NASDAQ:POOL
24,NASDAQ:CYRX
24,NYSE:LEN
24,NYSE:MS
24,NASDAQ:TTMI
24,NASDAQ:SRCE
24,NASDAQ:ATEX
24,NYSE:STC
24,NYSE:ONTO
24,NASDAQ:TXN
24,NYSE:ACM
24,NASDAQ:CLFD
24,NYSE:FDP
24,NYSE:ETRN
24,NYSE:MDU
24,NYSE:AG
24,NASDAQ:FARO
24,NYSE:TWLO
24,NASDAQ:RGEN
24,NYSE:SFBS
24,NYSE:AMCR
24,NYSE:CWK
24,NASDAQ:MERC
24,NASDAQ:IHRT
24,NASDAQ:SAGE
24,NYSE:KW
24,NYSE:FHN
24,NASDAQ:SONO
24,NYSE:INSP
24,NYSE:GM
24,NASDAQ:PLAB
24,NASDAQ:HWC
24,NASDAQ:ONEW
24,NYSE:PLOW
24,NASDAQ:VRA
24,NASDAQ:EEFT
24,NASDAQ:RVMD
24,NYSE:LUV
24,NASDAQ:PBPB
24,NYSE:RDN
24,NASDAQ:NFLX
24,NASDAQ:NBTB
24,NYSE:ASGN
24,NYSE:MOH
24,NYSE:ELAN
24,NASDAQ:CYTK
24,NASDAQ:RNST
24,NASDAQ:KHC
24,NASDAQ:SIGA
24,NYSE:VMI
24,NASDAQ:NEOG
24,NYSE:STZ
24,NYSE:BHLB
24,NYSE:MO
24,NASDAQ:PNTG
24,NYSE:EGO
24,NASDAQ:BRP
24,NYSE:USFD
24,NASDAQ:CGBD
24,NYSE:QTWO
24,NASDAQ:PNNT
24,NYSE:HLIO
24,NASDAQ:TBBK
24,NASDAQ:LSCC
24,NASDAQ:SATS
24,NYSE:WAT
24,NASDAQ:NMIH
24,NYSE:MSCI
24,NASDAQ:NWBI
24,NYSE:FVRR
24,NYSE:HI
24,NYSE:ECL
24,NYSE:MPC
24,NYSE:GSBD
24,NASDAQ:BECN
24,NYSE:GHC
24,NASDAQ:LRCX
24,NYSE:OC
24,NASDAQ:WINA
24,NASDAQ:MNRO
24,NASDAQ:LITE
24,NYSE:NBR
24,NYSE:YUMC
24,NYSE:BCC
24,NASDAQ:PTCT
24,NASDAQ:PCRX
24,NYSE:SCL
24,NASDAQ:BRKL
24,NYSE:HII
24,NASDAQ:QUIK
24,NASDAQ:JRVR
24,NASDAQ:TRUP
24,NASDAQ:WDC
24,NASDAQ:UCTT
24,NASDAQ:FBMS
